"","mean","lower","upper","mean","lower","upper"
"all",0.0224976667267041,0.0213512345002635,0.0237041644544458,0.00363499418728407,0.00318791593788,0.00414451069263982
"verylow",0.110223642172524,0.094054507866905,0.128777328791427,0.0159744408945687,0.0103645055854177,0.02454552108456
"low",0.0608484848484848,0.0539539664039976,0.0685601731835214,0.0113939393939394,0.00857947686605528,0.0151175964646897
"med",0.0297646165527715,0.0269966107124201,0.0328068612880104,0.00447987851176917,0.00347487228170346,0.00577386956793477
"high",0.0139444104782956,0.0128730205348664,0.0151036052414782,0.00225744250576118,0.0018491215661103,0.00275567948893987
