"","Lung12","Lung13","Lung5","Lung6","Lung9"
"healthy epithelial",0.0902513884828997,0.00734434375913476,0.494994153756212,0.164681379713534,0.24272873428822
"PanCK+ 1",0.00021180457497882,0.00021180457497882,0.000564812199943519,0.944154193730585,0.0548573849195143
"PanCK+ 2",0.000363646942456508,0.00155640891371385,0.000196369348926514,0.000145458776982603,0.997738116017921
"PanCK+ 3",7.03111267358059e-05,0.976305150290033,0.000386711197046933,0.00365617859026191,0.019581648795922
"PanCK+ 4",0.00250554110051074,0.000212007323889371,0.993716873855642,0.00129131733641708,0.00227426038354052
"PanCK+ 5",0.000206452581595691,0.000112610499052195,0.000487978829226178,0.997241042773221,0.00195191531690471
"PanCK+ 6",0.767835644102684,0.00368946366849198,0.149947570779448,0.0189133558584799,0.0596139655908967
